seg_id,seg_label,xs,ys,zs,xe,ye,ze,xm,ym,zm,diameter
298,basal4_021212,-27.354122823799962,-47.209980002927715,-60.387659596011225,-5.7482465631272674,-53.610794051265586,-63.41281614026463,-16.55118469346361,-50.41038702709665,-61.90023786813793,1.0
299,basal4_021212,-5.7482465631272674,-53.610794051265586,-63.41281614026463,-6.595167106069783,-62.48852767969435,-71.64236383620062,1.104556983438693,-57.22176205907112,-65.8111821209394,1.0
300,basal4_021212,-6.595167106069783,-62.48852767969435,-71.64236383620062,1.9592398876996917,-76.63848409223871,-86.71957440095424,-0.7647007609959999,-69.6175172521296,-78.30698247410594,1.0
301,basal4_021212,1.9592398876996948,-76.63848409223871,-86.71957440095426,-1.5808371957488518,-89.47274647331822,-104.47707722198588,1.7380022169488218,-83.30998900879992,-95.55413607857547,1.0
302,basal4_021212,-1.5808371957488518,-89.47274647331822,-104.47707722198588,-2.676352892257569,-100.73439392450777,-123.11458704186033,-4.782541240326496,-95.24325919150486,-113.38600136308408,1.0
303,basal4_021212,-2.6763528922575635,-100.73439392450778,-123.11458704186036,8.579999923706055,-113.19916534423828,-138.1925048828125,3.296665267210683,-105.92861414235176,-131.25514301990765,1.0
304,basal4_02122,-38.15999984741211,-20.039167404174805,-34.212501525878906,-18.30338995753413,-24.682194483488026,-33.42707393195573,-28.23169490247312,-22.360680943831415,-33.81978772891732,0.8977306845096338
305,basal4_02122,-18.30338995753413,-24.682194483488026,-33.42707393195573,1.5532199323438505,-29.325221562801246,-32.64164633803256,-8.375085012595143,-27.003708023144636,-33.034360134994145,0.6931920535289011
306,basal4_02122,1.5532199323438505,-29.325221562801246,-32.64164633803256,17.851820074700484,-37.110924905801596,-37.08457874200672,11.214481123458125,-32.13092938470386,-32.47966083685823,0.5
307,basal4_02122,17.851820074700477,-37.11092490580159,-37.08457874200671,22.3725499346203,-44.85275145517877,-47.28104514769661,23.853533826845176,-40.887012845413665,-44.18511507607429,0.5
308,basal4_02122,22.3725499346203,-44.85275145517877,-47.28104514769661,2.653873473900589,-49.629219870472966,-49.47620627728229,12.513211704260437,-47.24098566282587,-48.37862571248945,0.8147464384180416
309,basal4_02122,2.653873473900589,-49.629219870472966,-49.47620627728229,-17.06480298681916,-54.405688285767184,-51.67136740686798,-7.2054647564592855,-52.017454078120075,-50.57378684207514,1.2344713565290366
310,basal4_02122,-17.06480298681916,-54.405688285767184,-51.67136740686798,-2.5381428196819655,-58.72451589008988,-54.390176274066285,-12.419604330486523,-56.600089736104124,-52.99073781733741,1.3719506900000813
